chamber_id,recipe_id,step,sensor_window,sensor_id,n_wafers,n_used,center,sigma,ucl,lcl,cv,sample_min,sample_max,n_distinct,false_alarm_pct,qa_flags,limit_version,trigger_type,calc_window_n,k_sigma,q_low,q_high,q_lcl,q_ucl,created_at
C24_0,C6_0,4,settled,C57,6814,6741,11.353413654618475,0.562019879063896,13.039473291810163,9.667354017426787,0.0495,11.0,13.5,11,3.889,deadband_floored;high_false_alarm,v1,initial,6741,3.0,0.00135,0.99865,10.500000000000002,14.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,4,settled,C58,6814,6700,11.991402439024391,0.05327097203719107,12.151215355135964,11.831589522912818,0.0044,11.795,12.175,102,5.063,high_false_alarm,v1,initial,6700,3.0,0.00135,0.99865,11.77598775,12.2,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,4,settled,C61,6814,6680,-1041.7836734693878,23.70878969887713,-970.6573043727565,-1112.9100425660192,0.0228,-1112.0,-988.5,322,1.027,,v1,initial,6680,3.0,0.00135,0.99865,-1133.6049,-978.5987749999999,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,4,settled,C62,6814,6686,1830.9215885947046,13.03176440631575,1870.016881813652,1791.8262953757574,0.0071,1793.0,1856.0,188,0.983,,v1,initial,6686,3.0,0.00135,0.99865,1786.0,1873.5,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,4,settled,C63,6814,6711,219.99087221095334,2.2266634385883886,226.6708625267185,213.31088189518817,0.0101,215.5,225.0,40,0.117,,v1,initial,6711,3.0,0.00135,0.99865,214.5,226.40122500000007,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,4,settled,C9,6814,6683,64.13564358452139,0.8430265541062544,66.66472324684015,61.606563922202625,0.0131,63.167,66.4475,240,0.015,,v1,initial,6683,3.0,0.00135,0.99865,63.042,66.572,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,4,settled,D_VDC_RES,6814,6678,115.54081632653062,34.53729381146701,219.15269776093163,11.92893489212959,0.2989,57.0,201.5,373,0.117,,v1,initial,6678,3.0,0.00135,0.99865,37.598775,208.40122500000007,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,4,transient,C18,6814,6746,1.8615084175084176,1.8698386954263864,7.471024503787577,-3.7480076687707413,1.0045,0.0,6.873333333333334,1759,0.191,wide_limits;high_cv,v1,initial,6746,3.0,0.00135,0.99865,0.0,9.37176616666669,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,4,transient,C27,6814,6714,3.063136456211812,41.76794823936179,128.3669811742972,-122.24070826187356,13.6357,-87.33333333333333,111.66666666666667,158,0.205,,v1,initial,6714,3.0,0.00135,0.99865,-90.0,223.33333333333334,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,4,transient,C54,6814,6710,12.68619528619529,141.66433013534999,437.67918569224526,-412.30679511985466,11.1668,-206.33333333333334,205.33333333333334,120,0.029,,v1,initial,6710,3.0,0.00135,0.99865,-245.33333333333334,251.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,4,transient,C56,6814,6728,35.54795439302482,156.84592740188666,506.0857365986848,-434.9898278126351,4.4122,-248.0,221.33333333333334,137,0.0,,v1,initial,6728,3.0,0.00135,0.99865,-267.3333333333333,269.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,5,settled,C11,2397,2388,-1.2983870967741935,0.48616474870558357,1.7016129032258065,-4.298387096774194,0.3744,-3.0,-1.0,5,0.042,deadband_floored;wide_limits,v1,initial,2388,3.0,0.00135,0.99865,-4.0,2.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,5,settled,C15,2397,2397,23.0,0.0,23.0,23.0,0.0,23.0,23.0,1,0.0,zero_sigma,v1,initial,2397,3.0,0.00135,0.99865,23.0,23.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,5,settled,C16,2397,2395,241.49,6.44655393488566,274.49,208.49,0.0267,235.0,258.0,4,0.0,deadband_floored,v1,initial,2395,3.0,0.00135,0.99865,214.0,280.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,5,settled,C17,2397,2390,231.98170731707316,2.7130358772710395,240.12081494888628,223.84259968526004,0.0117,227.0,238.0,14,0.0,,v1,initial,2390,3.0,0.00135,0.99865,226.0,238.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,5,settled,C31,2397,2375,0.533066132264529,1.6320469275631926,5.429206914954107,-4.363074650425049,3.0616,0.0,8.0,11,5.882,deadband_floored;high_false_alarm;wide_limits;high_cv,v1,initial,2375,3.0,0.00135,0.99865,-3.0,10.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,5,settled,C32,2397,2378,0.04225352112676056,0.6252154911492738,3.0422535211267605,-2.9577464788732395,14.7968,0.0,7.0,7,1.752,deadband_floored;wide_limits;high_cv,v1,initial,2378,3.0,0.00135,0.99865,-3.0,9.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,5,settled,C57,2397,2396,11.0,0.0,14.0,8.0,0.0,11.0,11.0,2,0.0,zero_sigma;deadband_floored,v1,initial,2396,3.0,0.00135,0.99865,8.0,14.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,5,settled,C58,2397,2395,11.984161616161616,0.0356258930595625,12.091039295340304,11.877283936982929,0.003,11.92,12.05,15,0.0,,v1,initial,2395,3.0,0.00135,0.99865,11.92,12.05,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,5,settled,C61,2397,2349,-942.7224489795918,207.3524934879128,-320.6649685158535,-1564.7799294433303,0.22,-1225.0,-467.0,672,0.0,,v1,initial,2349,3.0,0.00135,0.99865,-1246.0,-430.9383999999991,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,5,settled,C62,2397,2352,-1923.9755102040817,1939.1982353836672,3893.6191959469197,-7741.570216355083,1.0079,-3689.0,1683.0,1256,0.0,,v1,initial,2352,3.0,0.00135,0.99865,-3691.7654,1806.061600000001,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,5,settled,C63,2397,2395,202.342,3.2691053690998846,212.14931610729965,192.53468389270037,0.0162,200.0,210.0,12,0.0,deadband_floored,v1,initial,2395,3.0,0.00135,0.99865,197.0,210.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,5,settled,C9,2397,2356,61.51398985801218,2.045107409040411,67.64931208513342,55.378667630890945,0.0332,56.419,63.792,128,0.0,,v1,initial,2356,3.0,0.00135,0.99865,56.232,63.96522020000001,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,5,settled,D_VDC_RES,2397,2382,335.76104417670683,1.6608530614703891,340.743603361118,330.77848499229566,0.0049,332.0,340.0,12,0.25,,v1,initial,2382,3.0,0.00135,0.99865,330.0,340.0,2026-08-06T09:04:36.205914+00:00
