wafer,chamber,C6,t,seg,in_val,ae_raw,ae_score,ewma,ae_drift_score,z,anom_z,anom_band,drift_pts,score_ae_z,score_ae_band,score_ae_sum
C64_624,C24_0,C6_0,1543596719.5,seg1,False,34.559395960340936,0.0,0.05567994877579102,0.0,-0.3194084868111696,0,0,0,0,0,0
C64_623,C24_0,C6_0,1543596833.5,seg1,False,13.314555932624833,0.0,0.052895951337001465,0.0,-0.8516869398145359,0,0,0,0,0,0
C64_604,C24_0,C6_0,1543596986.6,seg1,False,45.92315354692808,0.0587467789621739,0.05318849271826008,0.0,-0.034695431753907005,0,0,0,0,0,0
C64_596,C24_0,C6_0,1543597112.7,seg1,False,29.26448163883592,0.0,0.05052906808234708,0.0,-0.4520698201118301,0,0,0,0,0,0
C64_605,C24_0,C6_0,1543597223.7,seg1,False,45.68072139303239,0.0585116727474883,0.050928198315604134,0.0,-0.040769443686476094,0,0,0,0,0,0
C64_603,C24_0,C6_0,1543597334.8,seg1,False,27.68834364058145,0.0,0.048381788399823926,0.0,-0.4915591405461672,0,0,0,0,0,0
C64_606,C24_0,C6_0,1543597445.8,seg1,False,88.03040318879854,0.0995816101305748,0.050941779486361465,0.0,1.0202798785031513,0,0,0,0,0,0
C64_607,C24_0,C6_0,1543597559.8,seg1,False,20.507665859265373,0.0,0.04839469051204339,0.0,-0.6714672997023771,0,0,0,0,0,0
C64_602,C24_0,C6_0,1543597667.9,seg1,False,11.879158631071675,0.0,0.04597495598644122,0.0,-0.8876500750567484,0,0,0,0,0,0
C64_601,C24_0,C6_0,1543597778.9,seg1,False,59.63682860263589,0.0720460471490301,0.04727851054457066,0.0,0.3088935872323531,0,0,0,0,0,0
C64_608,C24_0,C6_0,1543597890.1,seg1,False,38.78075905028747,0.0518202170069515,0.0475055958676897,0.0,-0.21364442305964762,0,0,0,0,0,0
C64_600,C24_0,C6_0,1543598001.5,seg1,False,87.66170350372182,0.099224052001749,0.05009151867439267,0.0,1.0110422990372934,0,0,0,0,0,0
C64_599,C24_0,C6_0,1543598112.7,seg1,False,43.069225205769406,0.0559790920918815,0.050385897345267106,0.0,-0.10619912678915308,0,0,0,0,0,0
C64_598,C24_0,C6_0,1543598223.1,seg1,False,33.40531711920761,0.0,0.04786660247800375,0.0,-0.3483233338705477,0,0,0,0,0,0
C64_597,C24_0,C6_0,1543598364.2,seg1,False,108.8269212327496,0.1223826381780618,0.05159240426300665,0.0,1.5413258566253445,0,0,0,0,0,0
C64_564,C24_0,C6_0,1543598493.2,seg1,False,17.573834728641756,0.0,0.04901278404985632,0.0,-0.7449729177039326,0,0,0,0,0,0
C64_559,C24_0,C6_0,1543598610.3,seg1,False,115.79389415142536,0.1300398214098207,0.053064135917854534,0.0,1.7158797512383956,0,0,0,0,0,0
C64_563,C24_0,C6_0,1543598724.3,seg1,False,24.572262730631323,0.0,0.0504109291219618,0.0,-0.5696309322856075,0,0,0,0,0,0
C64_565,C24_0,C6_0,1543598838.2,seg1,False,24.372833393779857,0.0,0.04789038266586371,0.0,-0.5746275309309397,0,0,0,0,0,0
C64_562,C24_0,C6_0,1543598952.3,seg1,False,30.48375121556869,0.0,0.04549586353257052,0.0,-0.42152165296862204,0,0,0,0,0,0
C64_561,C24_0,C6_0,1543599066.3,seg1,False,69.89682289494539,0.081995999669762,0.04732087033943009,0.0,0.5659524251717869,0,0,0,0,0,0
